IDActivo;Nombre_Institucion;IDORPortal_Institucion;Nombre_Activo;Apellidos_Activo;DocumentoPais_Activo;CodigoNacionalidad_Activo;FechaInicio_Activo;FechaTermino_Activo;Remunerado
1243;SUBSECRETARIA DEL DEPORTE;BA001;Arturo;Barrios;CHL;CHL;2014-12-04;;False
1244;SUBSECRETARIA DEL DEPORTE;BA001;Manuel;Neira;CHL;CHL;2014-12-04;;False
1245;SUBSECRETARIA DEL DEPORTE;BA001;David;Jimenez;CHL;CHL;2014-12-16;;False
1246;SUBSECRETARIA DEL DEPORTE;BA001;Alvaro;Soto;CHL;CHL;2014-12-16;;False
1247;SUBSECRETARIA DEL DEPORTE;BA001;Cristian Ignacio;Dettoni Jorquera;CHL;CHL;2014-12-19;;False
1248;SUBSECRETARIA DEL DEPORTE;BA001;Cristobal Eduardo;Ubilla Cuevas;CHL;CHL;2014-12-19;;False
1553;SUBSECRETARIA DEL DEPORTE;BA001;Jose Ignacio;Balmaceda Toledo;CHL;CHL;2015-01-23;;False
1554;SUBSECRETARIA DEL DEPORTE;BA001;RENE ARMANDO;ARRIAGADA BRAVO;CHL;CHL;2015-01-23;;False
1555;SUBSECRETARIA DEL DEPORTE;BA001;SANDRO MAURICIO;MELLADO MELLADO;CHL;CHL;2015-01-23;;False
1556;SUBSECRETARIA DEL DEPORTE;BA001;DANOR ALFONSO;QUINTEROS JAQUE;CHL;CHL;2015-01-23;;False
1557;SUBSECRETARIA DEL DEPORTE;BA001;ELVIRA ESTER;CONCHA CASTRO;CHL;CHL;2015-01-23;;False
1558;SUBSECRETARIA DEL DEPORTE;BA001;JORGE SEGUNDO;SILVA GONZALEZ;CHL;CHL;2015-01-23;;False
1559;SUBSECRETARIA DEL DEPORTE;BA001;HELMA ALICIA;GODOY PEREZ;CHL;CHL;2015-01-23;;False
1560;SUBSECRETARIA DEL DEPORTE;BA001;ELIANA;ESTAY MORAGA;CHL;CHL;2015-01-23;;False
1561;SUBSECRETARIA DEL DEPORTE;BA001;JUAN MANUEL;HIDALGO LAGOS;CHL;CHL;2015-01-23;;False
1890;SUBSECRETARIA DEL DEPORTE;BA001;Arturo;Barrios;CHL;CHL;2014-12-04;;
1891;SUBSECRETARIA DEL DEPORTE;BA001;Manuel;Neira;CHL;CHL;2014-12-04;;
1892;SUBSECRETARIA DEL DEPORTE;BA001;David;Jimenez;CHL;CHL;2014-12-16;;
1893;SUBSECRETARIA DEL DEPORTE;BA001;Alvaro;Soto;CHL;CHL;2014-12-16;;
1894;SUBSECRETARIA DEL DEPORTE;BA001;Cristian Ignacio;Dettoni Jorquera;CHL;CHL;2014-12-19;;
1895;SUBSECRETARIA DEL DEPORTE;BA001;Cristobal Eduardo;Ubilla Cuevas;CHL;CHL;2014-12-19;;
2194;SUBSECRETARIA DEL DEPORTE;BA001;Jose Ignacio;Balmaceda Toledo;CHL;CHL;2015-01-23;;
2195;SUBSECRETARIA DEL DEPORTE;BA001;RENE ARMANDO;ARRIAGADA BRAVO;CHL;CHL;2015-01-23;;
2196;SUBSECRETARIA DEL DEPORTE;BA001;SANDRO MAURICIO;MELLADO MELLADO;CHL;CHL;2015-01-23;;
2197;SUBSECRETARIA DEL DEPORTE;BA001;DANOR ALFONSO;QUINTEROS JAQUE;CHL;CHL;2015-01-23;;
2198;SUBSECRETARIA DEL DEPORTE;BA001;ELVIRA ESTER;CONCHA CASTRO;CHL;CHL;2015-01-23;;
2199;SUBSECRETARIA DEL DEPORTE;BA001;JORGE SEGUNDO;SILVA GONZALEZ;CHL;CHL;2015-01-23;;
2200;SUBSECRETARIA DEL DEPORTE;BA001;HELMA ALICIA;GODOY PEREZ;CHL;CHL;2015-01-23;;
2201;SUBSECRETARIA DEL DEPORTE;BA001;ELIANA;ESTAY MORAGA;CHL;CHL;2015-01-23;;
2202;SUBSECRETARIA DEL DEPORTE;BA001;JUAN MANUEL;HIDALGO LAGOS;CHL;CHL;2015-01-23;;
2270;SUBSECRETARIA DEL DEPORTE;BA001;HERNAN EDUARDO;DUBO URRUTIA;CHL;CHL;2015-02-02;;
2271;SUBSECRETARIA DEL DEPORTE;BA001;ANGELICA CAROLINA;CORTES ARAYA;CHL;CHL;2015-02-02;;
2272;SUBSECRETARIA DEL DEPORTE;BA001;FERNANDO;DIAZ MUJICA;CHL;CHL;2015-02-02;;
2273;SUBSECRETARIA DEL DEPORTE;BA001;PEDRO ELIAS;HOFFMAN FERNANDEZ;CHL;CHL;2015-02-02;;
2274;SUBSECRETARIA DEL DEPORTE;BA001;ROLANDO PAUL;JIMENEZ PEREZ;CHL;CHL;2015-02-02;;
2275;SUBSECRETARIA DEL DEPORTE;BA001;PATRICIO EUGENIO;FUENTES HERRERA;CHL;CHL;2015-02-02;;
