IDAudienciaReunion;Cut;Nombre_Institucion;IDORPortal_Institucion;Nombre_Comuna;Nombre_TiposForma;FechaInicio_Audiencia;DuracionMinuto_Audiencia;Lugar_Audiencia;ObservacionesMateria_Audiencia;Descripcion_Materia
1;13101;CARABINEROS DE CHILE;AD009;Santiago;Presencial;2014-12-16 00:00:00;30;Avenida Libertador Bernardo O´Higgins 1196, Piso 9;Se dieron a conocer los servicios de seguridad TI, vinculación de enlaces, Zimperium, soporte tecnológico, protección de ataques.;Celebración, modificación o terminación a cualquier título, de contratos que realicen los sujetos pasivos y que sean necesarios para su funcionamiento.
2;13101;CARABINEROS DE CHILE;AD009;Santiago;Presencial;2014-12-29 00:00:00;30;Avenida Libertador Bernardo O´Higgins 1196, Piso 9;Se expusieron los productos textiles y de confección;Celebración, modificación o terminación a cualquier título, de contratos que realicen los sujetos pasivos y que sean necesarios para su funcionamiento.
201;10101;MINISTERIO PUBLICO;NR008;Puerto Montt;Presencial;2014-12-18 04:00:00;30;Oficina Fiscal Regional, Fiscalía Regional de Los Lagos;Presentación de la Multigremial de La Araucanía y del instrumento Barómetro de Conflictos de Connotación Indígena realizado en regiones de La Araucanía y Bio Bio.;Ninguna de las anteriores.
202;13101;MINISTERIO PUBLICO;NR008;Santiago;Presencial;2014-12-22 04:00:00;60;Fiscalía Centro Norte, Pedro Montt 1606;Solicitan reunión para analizar plan piloto de intercambio de información de vehículos hallados en la Fiscalía Centro Norte ;Celebración, modificación o terminación a cualquier título, de contratos que realicen los sujetos pasivos y que sean necesarios para su funcionamiento.
203;8101;MINISTERIO PUBLICO;NR008;Concepción;Presencial;2014-12-18 04:00:00;40;Fiscalía Regional del Bío Bío;Medidas de protección para brigadistas forestales de Bosques Arauco, objeto de ataques incendiarios y armados.;Elaboración, dictación, modificación, derogación o rechazo de actos administrativos, proyectos de ley y leyes, y también de las decisiones que tomen los sujetos pasivos
204;8101;MINISTERIO PUBLICO;NR008;Concepción;Presencial;2014-12-23 04:00:00;40;Fiscalía Regional del Bío Bío.;Analizar situación de despido de trabajadores de Empresa de Seguridad ARS, que presta servicios en Fiscalía Local de Chillán.;Ninguna de las anteriores.
205;13101;MINISTERIO PUBLICO;NR008;Santiago;Presencial;2014-12-04 04:00:00;40;Fiscalía Nacional;Excelentísimo Embajador de Japón presenta saludos protocolares al Sr. Fiscal Nacional y manifiesta preocupación por tramitación de causas vigentes en la Fiscalía Regional del Bío-Bío, concernientes a empresa representada en audiencia, y aporta antecedentes a la investigación. ;Ninguna de las anteriores.
206;13101;MINISTERIO PUBLICO;NR008;Santiago;Presencial;2014-12-18 04:00:00;35;Fiscalía Nacional;El Honorable Senador Alfonso De Urresti manifiesta al Sr. Fiscal Nacional preocupación por causa investigada por la Fiscalía Regional de Los Ríos, relativa a fallecimiento del Sr. Alberto Díaz Díaz en la comuna de Lago Ranco.;Ninguna de las anteriores.
207;13101;MINISTERIO PUBLICO;NR008;Santiago;Presencial;2014-12-22 04:00:00;45;Fiscalía Nacional;Los Honorables Senadores Alejandro García-Huidobro y Alejandro Guillier manifiestan al Sr. Fiscal Nacional preocupación por causa investigada por la Fiscalía Regional de Antofagasta, relativa a presunta desgracia de guía turístico Kurt Martinson y solicitan priorizar recursos para investigación. Asisten a audiencia acompañados de familiar de presunta víctima.;Ninguna de las anteriores.
208;13101;MINISTERIO PUBLICO;NR008;Santiago;Presencial;2014-12-29 04:00:00;35;Fiscalía Nacional;Madre de congregación Carmelitas Descalzas, junto a representante de Comunidad Ecológica El Peumo y abogado querellante, expresan preocupación por causas investigadas por la Fiscalía Local de Puente Alto, relativas a delito de incendio.;Ninguna de las anteriores.
209;13101;MINISTERIO PUBLICO;NR008;Santiago;Presencial;2014-12-17 04:00:00;40;Fiscalía Nacional;Abogado de imputado expresa preocupación por tramitación de investigación vigente a cargo de Fiscalía Regional Metropolitana Sur y eventuales irregularidades en el transcurso de la misma.;Ninguna de las anteriores.
256;13123;INSTITUTO NACIONAL DE DERECHOS HUMANOS;CO001;Providencia;Presencial;2015-01-06 00:00:00;60;INDH - Eleodoro Yañez 832. Providencia.;Incorporar modificaciones al proyecto de Ley del ministerio de la mujer para que incluya a las mujeres indigenas.;Elaboración, dictación, modificación, derogación o rechazo de actos administrativos, proyectos de ley y leyes, y también de las decisiones que tomen los sujetos pasivos
261;13123;INSTITUTO NACIONAL DE DERECHOS HUMANOS;CO001;Providencia;Presencial;2015-01-07 00:00:00;60;INDH - Eleodoro Yañez 832. Providencia.;Libertad de las personas Delfin Diaz Quezada y Juan Tapia Olivares.;Ninguna de las anteriores.
262;13123;INSTITUTO NACIONAL DE DERECHOS HUMANOS;CO001;Providencia;Presencial;2015-01-13 00:00:00;60;INDH - Eleodoro Yañez 832. Providencia.;Presentación trabajo 2015 corporación Enama y invitación a participar en actividades.;Ninguna de las anteriores.
277;13123;INSTITUTO NACIONAL DE DERECHOS HUMANOS;CO001;Providencia;Presencial;2014-12-02 00:00:00;60;INDH;Presentación institucional de ONG Comunidad y Justicia y posibilidad de convenio;Ninguna de las anteriores.
363;5101;SENADO;NR005;Valparaíso;Presencial;2014-12-09 00:00:00;30;Oficina Del Senado;Reunión para tratar modificaciones introducidas al proyeco de ley que fija porcentajes minimos en la emisión radial de la música chilena.;Ninguna de las anteriores.
