IDPasivo;Fecha_Donativo;Singularizacion_Donativo;Ocasion_Donativo;Nombre_DonanteEntidad;Nombre_DonanteActivo;Apellidos_DonanteActivo;Nombre_Institucion;IDORPortal_Institucion;IDDonativo
81711;2015-01-28;1 LIBRO;CORTESÍA;;Abdulla Mohammed Al-Maainah   (Embajador de los Emiratos ärabes Unidos);;SUBSECRETARÍA DE ECONOMÍA;AH001;686
82349;2015-01-06;Libro "Vicente Huidobro en la Constelación cantante de las aguas";S/I;;Aguas Andinas S. A.;;SENADO;NR005;53
82350;2015-01-07;Libro Vicente Huidobro en la Constelación Cantante de las Aguas;Presente de fin de año.;;Aguas Andinas S.A.;;SENADO;NR005;52
81694;2014-12-05;COLECCION NUMISMATICA DEL BANCO DE MEXICO 3 TOMOS;REGALO   DE AGUSTIN GUILLERMO CARSTENS CARSTENS -  MEXICO;;AGUSTIN GUILLERMO CARSTENS CARSTENS;;SUBSECRETARÍA DE EDUCACIÓN;AJ001;134
81731;2014-12-01;1 piecera de lana cruda ;Reunión con Alcalde Vichuquén;;Alcalde Vichuquen;;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001;71
81688;2014-12-16;Caja de Galletas;Con Motivo de Fiestas navideñas;;Alejandra Pérez Lecaros  (regalo personal)    Sub. Directora Ejec. CANAL 13;;SUBSECRETARIA GENERAL DE GOBIERNO;AG001;123
82347;2014-12-22;Una caja con dos botellas de vino y un juego de ajedrez;Saludo de Navidad y agradecimiento por colaboración de la Senadora en Aniversario Fundación Arturo López Pérez;;Alfredo  Comadari García;;SENADO;NR005;41
81727;2015-01-07;Publicaciones: Lo Pienso Bien y lo Digo Mal; Nicanor Parra y Vinicius de Moraes; Antología en Verso y Prosa Gabriela Mistral; Diccionario de Uso de l español en Chile; La Cultura de la Opera en Chile.;Obsequio Navidad;;Alfredo Matus Olivier, Director Academia Chilena de la Lengua;;SUBSECRETARÍA GENERAL DE LA PRESIDENCIA;AF001;526
81688;2014-12-22;JABONES ARTESANALES;REGALO DE NAVIDAD;;ALICIA ALFARO;;SUBSECRETARIA GENERAL DE GOBIERNO;AG001;252
81731;2015-01-23;Agenda2015;Visita Ministra a Región de Tarapaca;;América Chávez de la Junta de Vecinos Dunas I comuna de Iquique;;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001;611
81697;2015-01-02;1 EJEMPLAR LIBRO "BIBLIOTECA, CIUDAD Y SOCIEDAD - PLAN MAESTRO";CORTESÍA;;ANA TIRNONI BARRIOS - DIRECTORA BIBLIOTECA NACIONAL DE CHILE (DIBAM);;SUBSECRETARÍA DE JUSTICIA;AK001;651
81705;2014-12-22;Canasto con artículos de comida y bebestibles;Saludo de navidad;;Andronico Luksic / Vicepresidente Banco de Chile;;SUBSECRETARIA PARA LAS FUERZAS ARMADAS;AD022;268
82370;2015-01-05;Libro, "Santiago desde el aire";Entel.;;Antonio Buchi Duc, Gerente General de Entel;;SENADO;NR005;61
81731;2014-12-20;Pluma de Madera;Visita Región de  Los Ríos;;Artesano de Valdivia;;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001;227
82358;2014-12-22;Canasta de Navidad;Regalo por tener cuenta corriente en Banco Chile;;Banco de Chile;;SENADO;NR005;36
82361;2015-01-15;Libro Mar de Chile;Lo entrega conductor de Diputada de Renovación Nacional, quien amablemente lo trajo desde la Sede de RN a donde lo entregaron previamente.;;Banco Santander;;SENADO;NR005;58
82343;2014-12-22;Grabado de Francisco Bustamante;Regalo de Navidad;;BBVA;;SENADO;NR005;55
81976;2014-12-22;Canasta con Licores y Vinos;Fiestas de Fin de Año;;Bruno Garisto;;SUBSECRETARÍA DE RELACIONES EXTERIORES;AC001;434
82370;2014-12-22;Surtido de Cecinas San Jorge;S/I;;Cecinas San Jorge;;SENADO;NR005;48
81711;2015-01-14;2 VINOS;CORTESÍA ;;Claudio Marchat, Microempresario de Temuco;;SUBSECRETARÍA DE ECONOMÍA;AH001;595
81750;2014-12-01;BANDEJA DE PLATA;Visita de Estado a Chile;;DAVID JOHNSTON;;CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL;NR001;342
81711;2014-12-22;CHOCOLATES;PRESENTE DE NAVIDAD;;DIPUTADO ISSA KORT;;SUBSECRETARÍA DE ECONOMÍA;AH001;248
81752;2015-01-19;Libro "Energy";Enviado directamente al Gabinete del Subsecretario.;;Douglas Tompkins;;SUBSECRETARÍA DEL MEDIO AMBIENTE;AW002;608
81711;2014-12-18;LIBRO;PRESENTE DE NAVIDAD;;EDUARDO ERGAS;;SUBSECRETARÍA DE ECONOMÍA;AH001;189
81941;2014-12-22;Texto: El Buen Alcalde.;Cortesía;;Eduardo Ergas Weisner.;;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);AB002;224
81783;2014-12-23;Selección de degustaciones y destilado típico;Fin de Año;;Embajador de Argelia, Sr. Nourredine Yasid;;SUBSECRETARÍA DE RELACIONES EXTERIORES;AC001;459
81783;2014-12-17;Cuadro típico en cobre de Egipto;Fin de Año;;Embajador de Egipto, Sr. Yasser Hashem;;SUBSECRETARÍA DE RELACIONES EXTERIORES;AC001;451
81783;2014-12-17;Ejemplar de vino típico de Israel;Fin de Año;;Embajador de Israel, Sr. Rafael Eldad;;SUBSECRETARÍA DE RELACIONES EXTERIORES;AC001;450
81783;2014-12-11;Artesanía y destilado típico de Rusia;Fin de año;;Embajador de la Federación Rusa, Sr. Mikhail Orolovets;;SUBSECRETARÍA DE RELACIONES EXTERIORES;AC001;448
82001;2014-12-09;Una Botella De Vino y una botella de Champagne;Presente navideño;;Embajador de la Misión de Irak Sr. Mohammad Sabir Ismail;;SUBSECRETARÍA DE RELACIONES EXTERIORES;AC001;161
81783;2014-12-11;Destilado típico de Corea;Fin de Año;;Embajador de la República de Corea, Sr. Yu Yi-Eun;;SUBSECRETARÍA DE RELACIONES EXTERIORES;AC001;449
81783;2014-12-22;Un calendario y una caja de té;Fin de Año;;Embajador de la República Popular China, Sr. Li Baorong;;SUBSECRETARÍA DE RELACIONES EXTERIORES;AC001;457
82001;2014-12-10;Una Botella de aceite de Oliva, Un Tomillo;Presente navideño;;Embajador de Palestina Ibrahim Khraishi;;SUBSECRETARÍA DE RELACIONES EXTERIORES;AC001;162
81783;2014-12-23;Selección de degustaciones gastronómicas típicas;Fin de Año;;Embajador de Tailandia, Sr. Surapon Petch-Vra;;SUBSECRETARÍA DE RELACIONES EXTERIORES;AC001;458
81713;2014-12-19;1 Agenda 2015 Turkiye;Regalo de Navidad;;EMBAJADOR DE TURQUIA;;SUBSECRETARÍA DE HACIENDA;AE001;375
81713;2014-12-19;1 Calendario 2015;Regalo de Navidad;;EMBAJADOR EXTRAORDINARIO Y PLENIPOTENCIARIO DE LA REPUBLICA CHINA EN CHILE;;SUBSECRETARÍA DE HACIENDA;AE001;374
82349;2015-01-06;Libro "Santiago desde el aire";S/I;;EMPRESA NACIONAL DE TELECOMUNICACIONES S.A.;;SENADO;NR005;56
82357;2015-01-05;Libro "Santiago desde el Aire";Ilustración tapa dura, con fotografías e ilustraciones de 27x37 cms;;Empresa Nacional Telecomunicaciones S.A.;;SENADO;NR005;46
82363;2015-01-06;Un libro ilustrado, tapa dura, 37 x 26 cms, Título: Parques Nacionales, Tomo 1 "Del Desierto a las Islas Oceánicas";Libro recibido en oficina de Correos Internos, Edificio Senado ciudad de Valparaíso;;Enersis / Enel;;SENADO;NR005;34
82357;2015-01-07;Libro PARQUES NACIONALES DE CHILE- Del desierto a las Islas Oceánicas- tomo 1;Libro tapa dura, papel couche, con ilustraciones y fotografías, 37 x 26 cms.;;Enersis /Enel;;SENADO;NR005;39
82354;2015-01-05;Tomo I Libro Parques Nacionales de Chile: Del Desierto a las Islas Oceánicas;Libro tapas duras, papel fina confección, dimensiones 25,8 x 37,5 cm. Editorial Travesía S.A.
Prohibida su venta.
Distribución gratuita;;ENERSIS Grupo ENEL;;SENADO;NR005;43
82349;2015-01-07;Libro "Parques Nacionales de Chile. Tomo 1";S/I;;Enersis S.A.;;SENADO;NR005;38
82350;2015-01-07;Libro Parques Nacionales de Chile Tomo 1;Presente de fin de año.;;ENERSIS S.A.;;SENADO;NR005;64
82361;2015-01-05;Libro Parques Nacionales de Chile, del Desierto a las Islas Oceánicas, Tomo 1.;Es recibido junto a la tarjeta de navidad de ENERSIS;;Enersis SA;;SENADO;NR005;47
82354;2014-12-23;1 Libro titulado: Santiago desde el Aire;Regalo Navidad;;ENTEL;;SENADO;NR005;57
82350;2015-01-07;Libro Santiago desde el Aire;Presente de fin de año;;ENTEL S.A.;;SENADO;NR005;40
81688;2014-12-23;CHOCOLATES;REGALO NAVIDEÑO;;ERNESTO EVANS;;SUBSECRETARIA GENERAL DE GOBIERNO;AG001;276
81694;2015-01-12;LIBRO "APOLOGIA DE LA INTUICIÓN" O CÓMO COMPRENDER EL DESPRESTIGIO DE LA DEMOCRACIA Y LA EMPRESA;REGALO PERSONAL ;;EUGENIO TIRONI;;SUBSECRETARÍA DE EDUCACIÓN;AJ001;580
81731;2014-12-20;Colgante de Madera;Visita Región de Los Ríos;;Funcionarios de la Seremi de Vivienda  Región de Los Ríos;;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001;226
81716;2015-01-02;Libro;Ejemplar de la publicación (Monografía) " El de Havilland Vampire;;General Brigada Aérea, Don Rolando Mercado;;SUBSECRETARIA DE EVALUACIÓN SOCIAL;AI007;466
82337;2015-01-07;libro Parques Nacionales de Chile- del desierto a las Islas Oceánicas- tomo 1;S/I;;Grupo Enel;;SENADO;NR005;62
81720;2014-12-12;Caja 2 botellas de vino Viña Portal del Alto (enviado a Servicio de Bienestar para fines  Solidarios, mediante Oficio Ord. N° 3389 , 31/12/2014);Regalo de Navidad;;Hernán Henríquez Parrao;;SUBSECRETARÍA DE OBRAS PÚBLICAS;AM001;419
81731;2014-12-24;una caja de chocolates;Navidad;;Issa Kort Garriga - Diputado de la República;;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001;471
81713;2014-12-16;1 Libro "Otra mirada";Regalo de Navidad;;Jaime Besa;;SUBSECRETARÍA DE HACIENDA;AE001;371
81723;2014-12-01;Disco compacto "Brotes del canto campesino. Cultores de Santa Bárbara";Seminario Nacional “Patrimonio Ferroviario y propuestas para su revalorización turística”;;Jaime Zúñiga Salas;;SUBSECRETARÍA DE TURISMO;AH011;77
34990;2014-12-03;Recibe ejemplar de libro "Entre vuelos y trazos" editado por la Fuerza Aérea de Chile.;Audiencia de presentación de saludos protocolares del Comandante en Jefe de la Fuerza Aérea de Chile, General del Aire Jorge Robles Mella.;;Jorge;Robles Mella;MINISTERIO PUBLICO;NR008;7
81723;2014-12-01;Dos ejemplares del libro "Me lo contaron mis viejos". Historias ferroviarias de San Rosendo";Seminario Nacional “Patrimonio Ferroviario y propuestas para su revalorización turística”;;Jorge Inostroza Sánchez;;SUBSECRETARÍA DE TURISMO;AH011;85
82370;2015-01-07;Libro Parques Nacionales de Chile Tomo I;Envía Enersis / Enel;;Jorge Rosenblut;;SENADO;NR005;37
81976;2014-12-19;Hielera;Fiestas de Fin de Año;;Jorge Usuga;;SUBSECRETARÍA DE RELACIONES EXTERIORES;AC001;435
81963;2015-01-20;Libros, Tomo 1 y 2 " NOMBRES RAROS, SIN TOCAYOS " DE JOSE DANIEL NASTA;GENTILEZA;;JOSE DANIEL NASTA, CONSUL HONORARIO REINO HACEMITA DE JORDANIA;;SUBSECRETARÍA DE RELACIONES EXTERIORES;AC001;603
81727;2015-01-07;Publicaciones: Lo Pienso Bien y lo Digo Mal; Nicanor Parra y Vinicius de Moraes; Antología en Verso y Prosa Gabriela Mistral; Diccionario de Uso de l español en Chile; La Cultura de la Opera en Chile.;Obsequio Navidad;;José Luis Samaniego Aldazábal, Secretario Academia Chilena de la Lengua;;SUBSECRETARÍA GENERAL DE LA PRESIDENCIA;AF001;526
81732;2014-12-02;Salame Italliano Cecinas Llanquihue;Reunión con comites de vivienda de la comuna de Llanquihue;;Juan Fernando Vasquez Vasquez, Alcalde de Llanquihue;;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001;87
81727;2014-12-23;Libro "La Autobiografía de Nelson Mandela - El Largo Camino hacia la Libertad;Saludo Navideño;;Juan Manuel Castro Rebolledo;;SUBSECRETARÍA GENERAL DE LA PRESIDENCIA;AF001;296
82370;2014-12-22;Libro "Una visión de universidad de clase mundial";Libro "Educación Superior, Una visión de Universidad de Clase mundial" Universidad de Santiago de Chile;;Juan Manuel Zolezzi Cid;;SENADO;NR005;60
81716;2014-12-23;Libro sobre Estudio y propuestas para la inclusión sociolaboral de migrantes en Arica;Migración y Trabajo;;Julio Verdejo Aqueveque;;SUBSECRETARIA DE EVALUACIÓN SOCIAL;AI007;464
82370;2014-12-22;Surtido de Chocolates Árabes;S/I;;Khalil Bitar;;SENADO;NR005;50
81752;2015-01-19;Libro "Energy";Enviado directamente al Gabinete del Subsecretario.;;Kristin Tompkins;;SUBSECRETARÍA DEL MEDIO AMBIENTE;AW002;608
81688;2014-12-19;CALENDARIO 2015;REGALO NAVIDEÑO;;LI BAORONG (EMBAJADOR REP. POPULAR CHINA EN CHILE);;SUBSECRETARIA GENERAL DE GOBIERNO;AG001;216
82370;2014-12-16;Pintura en lienzo de Seda;Delegación China de visita en el Senado de la República.;;LI CHANGJIN;;SENADO;NR005;54
82370;2015-01-13;Caja de chocolates Heilemann Confiserie y libro de "The annual research magazine of the Alexander Von Humboldt Institute for Internet and Society" Volumen 13;S/I;;Lies Van Roessel;;SENADO;NR005;63
81723;2014-12-01;Libro y DVD "Plan maestro turístico. Ramal Talca Constitución";Seminario Nacional “Patrimonio Ferroviario y propuestas para su revalorización turística”;;Miguel García;;SUBSECRETARÍA DE TURISMO;AH011;84
81727;2015-01-06;Libro: Sudamérica gastronómica. Un viaje por recetas y paisajes de Revista Paula;Regalo Navideño;;Milena Vodanovic, Directora Revista Paula;;SUBSECRETARÍA GENERAL DE LA PRESIDENCIA;AF001;511
81697;2014-12-22;1 EJEMPLAR DEL LIBRO TEXTO COMPLETO OBRA DE TEATRO AL FINAL;Cortesía;;MONSEÑOR FERNANDO CHOMALI;;SUBSECRETARÍA DE JUSTICIA;AK001;398
81688;2014-12-18;AGENDA 2015;REGALO NAVIDAD;;NACIYE GÖKCEN KAYA (EMBAJADORA DE TURQUÍA);;SUBSECRETARIA GENERAL DE GOBIERNO;AG001;190
81727;2014-12-18;Agenda 2015 del Ministerio de Relaciones Exteriores de Turquía y tarjeta navideña;Regalo Navidad;;Naciye Gökcen Kaya, Embajadora;;SUBSECRETARÍA GENERAL DE LA PRESIDENCIA;AF001;175
82370;2014-12-22;Botella de Champagne Valdivieso;S/I;;Nourredine Yazid;;SENADO;NR005;49
82370;2014-12-22;Colección de películas chilenas;S/I;;Oscar Reyes Peña;;SENADO;NR005;59
81705;2014-12-01;Libro "Un alma de Dios" / Gustave Flaubert;Regalo de Navidad;;Pablo A. Correa;;SUBSECRETARIA PARA LAS FUERZAS ARMADAS;AD022;73
81750;2014-12-09;CAJA DE BOMBONES. PORTALÁPIZ Y LÁPIZ DE TINTA  MEMORIA ANUAL 2013 DEL PODER JUDICIAL DEL PERU. LIBRO IURIS OMNES. LIBRO YA VUELVO MAMI. LIBRETA DE ANOTACIONES. BUFANDA. BOTELLA DE PISCO ITALIA. ESCULTURA DE LA CORTE SUPERIOR DE JUSTICIA DE AREQUIPA;VISITA DELEGACION DE AUTORIDADES JUDICIALES DE AREQUIPA, PERÚ ;;PERCY GÓMEZ BENAVIDES;;CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL;NR001;343
81942;2014-12-23;Corbata;Saludo por fiestas de fin de año;;Ricardo P. Solar Roberts. General de Carabineros. Jefe Zona Seguridad Privada y Control Armas.;;SUBSECRETARÍA DE PREVENCIÓN DE DELITOS;AB093;325
81712;2014-12-18;1 Set de Palitos Chinos;Lanzamiento 4 ejes para potenciar exportaciones de las PYMES;;Roberto Fantuzzi;;SUBSECRETARÍA DE HACIENDA;AE001;438
81712;2014-12-26;1 CD Taller Alturas de Magallanes;Regalo de Navidad;;Senadora Carolina Goic;;SUBSECRETARÍA DE HACIENDA;AE001;445
82370;2014-12-29;Libro "VOCES DE ORIGEN MAPUDUNGUN";Enviado por  Sergio Urbina Squella, Director de asuntos corporativos y Gerente General La Corporación Cultural La Araucana;;Sergio Urbina Squella;;SENADO;NR005;35
81719;2015-01-27;Canasto de Frutas - Donado a Fundación Paternitas;Visita a Feria Libre Feria Libre N°1 Comuna de Quinta Normal;;Sin Información;;SUBSECRETARÍA DEL TRABAJO;AL001;702
82370;2014-12-22;Caja con productos varios (pastas, quesos, vino, jamón);S/I;;Siria Jeldes Chang;;SENADO;NR005;51
82348;2014-12-16;Cofre de madera con 1 vino marca Lapostolle;S/I;;Soc.Concesionaria Valles del Bio Bio;;SENADO;NR005;42
81697;2014-12-17;1 ANUARIO AUTOMOTRIZ;Cortesía;;SR. ÁLVARO MENDOZA NEGRI - PRESIDENTE ASOCIACIÓN  NACIONAL AUTOMOTRIZ DE CHILE A.G.;;SUBSECRETARÍA DE JUSTICIA;AK001;396
81697;2014-12-29;1 EJEMPLAR DEL LIBRO SANTIAGO DESDE EL AIRE;Navidad;;SR. ANTONIO BÜCHI BUC - GERENTE GENERAL ENTEL;;SUBSECRETARÍA DE JUSTICIA;AK001;405
81962;2014-12-01;1 EJEMPLAR DEL REPORTE DE SOSTENIBILIDAD 2013 (85 AÑOS 1928-2013);Cortesía;;SR. CLAUDIO ELÓRTEGUI RAFFO, RECTOR, P. UNIV. CATÓLICA DE VALPARAÍSO;;SUBSECRETARÍA DE JUSTICIA;AK001;355
81962;2014-12-19;1 EJEMPLAR DEL LIBRO "CUÁN SUSTENTABLE ES LA REGIÓN DE ANTOFAGASTA" (INDICADORES Y TENDENCIAS PARA UN DESARROLLO REGIONAL SUSTENTABLE);Cortesía;;SR. CRISTIÁN RODRÍGUEZ SALAS, DIRECTOR INSTITUTO DE POLÍTICAS PÚBLICAS DE LA UNIVERSIDAD CATÓLICA DEL NORTE;;SUBSECRETARÍA DE JUSTICIA;AK001;358
81697;2014-12-23;1 EJEMPLAR DEL LIBRO GRANDES FIRMAS DEL MUNDO;Cortesía;;SR. CRISTIÁN ZEGERS - EL MERCURIO;;SUBSECRETARÍA DE JUSTICIA;AK001;403
81697;2014-12-17;1 EJEMPLAR DEL LIBRO OBRA TEMPRANA - VICENTE HUIDOBRO;Navidad;;SR. FELIPE LARRAIN ASPILLAGA - PRESIDENTE DIRECTORIO AGUAS ANDINAS;;SUBSECRETARÍA DE JUSTICIA;AK001;393
81783;2014-12-19;Dos botellas de vino ;Fin de Año;;Sr. Hernán Henriquez, Concejal de la Comuna de Buín;;SUBSECRETARÍA DE RELACIONES EXTERIORES;AC001;456
81697;2014-12-17;1 EJEMPLAR DEL LIBRO "CÓDIGO ORGÁNICO INTEGRAL PENAL";Cortesía;;SR. JERONIMO CARCELEN - ABOGADO;;SUBSECRETARÍA DE JUSTICIA;AK001;387
