IDPasivo;Nombre_Institucion;CategoriaCargo_Nombre;Nombre_Pasivo;Apellidos_Pasivo;CodigoNacionalidadIso_Pasivo;DocumentoPaisIso_Pasivo;FechaInicio_Pasivo;FechaTermino_Pasivo;LinkAudienciaReunion_Pasivo;LinkViajes_Pasivo;LinkDonativos_Pasivo;CargoFuncion_Pasivo;IDORPortal_Institucion
34602;SUBSECRETARÍA DE RELACIONES EXTERIORES;Embajador ;James Sidney;Sinclair Manley;CHL;CHL;2014-11-27;;https://www.leylobby.gob.cl/instituciones/124/cargos-pasivos/745/audiencias;https://www.leylobby.gob.cl/instituciones/124/cargos-pasivos/745/viajes;https://www.leylobby.gob.cl/instituciones/124/cargos-pasivos/745/donativos;Embajador de Chile en Singapur;AC001
34623;EJÉRCITO DE CHILE;Encargado de adquisiciones en las Fuerzas Armadas y de Orden y Seguridad Pública;GUIDO ENZO;MONTINI GÓMEZ;CHL;CHL;2014-11-25;;https://www.leylobby.gob.cl/instituciones/130/cargos-pasivos/425/audiencias;https://www.leylobby.gob.cl/instituciones/130/cargos-pasivos/425/viajes;https://www.leylobby.gob.cl/instituciones/130/cargos-pasivos/425/donativos;Comandante de Industria Militar e Ingeniería;AD006
34626;EJÉRCITO DE CHILE;Encargado de adquisiciones en las Fuerzas Armadas y de Orden y Seguridad Pública;ÓSCAR EDUARDO;BUSTOS CARRASCO;CHL;CHL;2014-11-25;;https://www.leylobby.gob.cl/instituciones/130/cargos-pasivos/437/audiencias;https://www.leylobby.gob.cl/instituciones/130/cargos-pasivos/437/viajes;https://www.leylobby.gob.cl/instituciones/130/cargos-pasivos/437/donativos;Comandante de Salud del Ejército;AD006
34632;ARMADA DE CHILE;Encargado de adquisiciones en las Fuerzas Armadas y de Orden y Seguridad Pública;Humberto Arturo;Ramirez Navarro;CHL;CHL;2014-11-28;;https://www.leylobby.gob.cl/instituciones/131/cargos-pasivos/410/audiencias;https://www.leylobby.gob.cl/instituciones/131/cargos-pasivos/410/viajes;https://www.leylobby.gob.cl/instituciones/131/cargos-pasivos/410/donativos;Director General del Territorio Marítimo y de Marina Mercante;AD007
34652;ESTADO MAYOR CONJUNTO;Encargado de adquisiciones en las Fuerzas Armadas y de Orden y Seguridad Pública;René;Sánchez Díaz;CHL;CHL;2014-11-27;;https://www.leylobby.gob.cl/instituciones/374/cargos-pasivos/46/audiencias;https://www.leylobby.gob.cl/instituciones/374/cargos-pasivos/46/viajes;https://www.leylobby.gob.cl/instituciones/374/cargos-pasivos/46/donativos;Encargado de adquisiciones en las Fuerzas Armadas y de Orden y Seguridad Pública;AD023
34675;SUBSECRETARIA DE EVALUACIÓN SOCIAL;Integrante de Comisión Evaluadora formada en el marco de la Ley N° 19.886;Nicolás;Andrade Leyton;CHL;CHL;2014-10-28;2014-12-01;https://www.leylobby.gob.cl/instituciones/378/cargos-pasivos/229/audiencias;https://www.leylobby.gob.cl/instituciones/378/cargos-pasivos/229/viajes;https://www.leylobby.gob.cl/instituciones/378/cargos-pasivos/229/donativos;Integrante de Comisión Evaluadora formada en el marco de la Ley N° 19886;AI007
34676;SUBSECRETARIA DE EVALUACIÓN SOCIAL;Integrante de Comisión Evaluadora formada en el marco de la Ley N° 19.886;Javiera;Troncoso Melo;CHL;CHL;2014-10-29;2014-12-04;https://www.leylobby.gob.cl/instituciones/378/cargos-pasivos/232/audiencias;https://www.leylobby.gob.cl/instituciones/378/cargos-pasivos/232/viajes;https://www.leylobby.gob.cl/instituciones/378/cargos-pasivos/232/donativos;Integrante de Comisión Evaluadora formada en el marco de la Ley N° 19886;AI007
34677;SUBSECRETARIA DE EVALUACIÓN SOCIAL;Integrante de Comisión Evaluadora formada en el marco de la Ley N° 19.886;Teresa;Maffei Rojo;CHL;CHL;2014-10-29;2014-12-04;https://www.leylobby.gob.cl/instituciones/378/cargos-pasivos/237/audiencias;https://www.leylobby.gob.cl/instituciones/378/cargos-pasivos/237/viajes;https://www.leylobby.gob.cl/instituciones/378/cargos-pasivos/237/donativos;Integrante de Comisión Evaluadora formada en el marco de la Ley N° 19886;AI007
34678;SUBSECRETARIA DE EVALUACIÓN SOCIAL;Integrante de Comisión Evaluadora formada en el marco de la Ley N° 19.886;Rodrigo;Herrera Pinto;CHL;CHL;2014-10-29;2014-11-28;https://www.leylobby.gob.cl/instituciones/378/cargos-pasivos/240/audiencias;https://www.leylobby.gob.cl/instituciones/378/cargos-pasivos/240/viajes;https://www.leylobby.gob.cl/instituciones/378/cargos-pasivos/240/donativos;Integrante de Comisión Evaluadora formada en el marco de la Ley N° 19886;AI007
34679;SUBSECRETARIA DE EVALUACIÓN SOCIAL;Subsecretario;Heidi;Berner Herrera;CHL;CHL;2014-03-11;;https://www.leylobby.gob.cl/instituciones/378/cargos-pasivos/122/audiencias;https://www.leylobby.gob.cl/instituciones/378/cargos-pasivos/122/viajes;https://www.leylobby.gob.cl/instituciones/378/cargos-pasivos/122/donativos;Subsecretario(a);AI007
