IDPersona_Representada;IDEntidad_Representada;IDAsistenciaActivo
717;;544
719;;546
720;;546
;415;547
723;;548
725;;549
;416;550
;417;550
;418;551
;419;551
;420;552
;421;552
;422;553
;423;553
731;;554
733;;555
735;;556
;424;557
;425;558
;426;559
;427;560
741;;561
;647;812
;648;813
;649;814
;650;815
;651;819
;652;820
;653;821
;654;822
;655;824
;656;825
;657;826
;658;836
;659;837
;664;840
;665;841
;666;846
;667;847
;668;850
;669;851
;670;852
;671;853
;672;854
;673;855
;674;856
;675;857
;676;858
;677;859
;678;860
;679;861
;680;862
;681;863
;682;864
;683;865
;684;866
;685;867
;686;868
;687;869
;688;870
;691;872
;692;873
;693;874
;694;875
;695;877
;696;878
;698;889
;700;891
;701;892
;702;893
;704;895
;705;896
;706;897
;707;898
;708;899
;709;900
;710;901
;711;902
;712;903
;713;904
;714;905
;715;906
;716;907
;717;908
;718;909
;719;910
;721;912
;722;913
;723;914
;724;915
;725;916
;726;917
;727;919
;728;920
;729;921
;730;922
;731;923
;732;924
;733;925
;734;926
;735;927
;736;928
;737;930
;738;931
;739;932
;740;933
;741;934
;742;935
;743;936
;744;937
;745;938
;746;939
;747;940
;748;942
;749;943
;750;944
;751;945
;752;946
;753;947
;754;948
;755;949
;756;950
;757;951
;758;955
;759;956
;760;957
;761;958
;762;959
;763;960
;764;961
;765;962
;766;963
;767;964
;768;965
;769;968
;770;969
;771;970
;772;971
;773;972
;774;973
;775;974
;776;975
;778;982
;779;983
;780;984
;781;985
;782;986
;783;987
;784;988
;785;989
;786;993
;787;1002
;788;1003
;789;1004
;790;1005
;791;1007
;792;1008
;793;1009
;794;1010
;795;1011
;796;1012
;797;1013
;798;1014
;799;1015
;800;1016
;802;1018
;803;1019
;804;1020
;805;1021
;806;1022
;807;1023
;808;1024
;809;1025
;810;1026
;811;1027
;812;1028
;813;1033
;814;1034
;815;1037
;816;1041
;817;1042
;818;1047
;819;1049
;820;1050
;821;1051
;822;1053
;823;1056
;824;1057
;825;1058
;827;1060
;828;1060
;830;1062
;832;1064
;833;1065
;834;1066
;835;1067
;836;1069
;837;1070
;838;1071
;839;1072
;840;1073
;841;1074
;842;1075
;844;1077
;845;1078
;846;1079
;847;1080
;848;1081
;849;1082
;850;1083
;851;1084
;852;1086
;853;1087
;854;1088
;855;1089
;856;1090
;857;1091
;858;1092
;859;1093
;860;1094
;861;1095
;862;1096
;863;1097
;864;1098
;865;1099
;866;1100
