FechaInicio_Viaje;FechaTermino_Viaje;Destino_Viaje;CostoTotal_Viaje;Monto_DesgloseViaje;OtroTipo_DesgloseViaje;Nombre_TipoDesglose;Nombre_FinancistaViaje;Apellidos_FinancistaViaje;Nombre_FinancistaViajeEntidad;IDPasivo;IDViaje_CodigoViaje;Nombre_Objeto;Otro_ObjetoViaje;Nombre_Institucion;IDORPortal_Institucion
2014-12-30;2014-12-30;PUERTO MONTT;0;0;;Alimentación;;;0;81711;225;Visitas técnicas;ACOMPAÑA A S.E. LA PRESIDENTA DE LA REPÚBLICA EN SU VISITA A LA CIUDAD DE PUERTO MONTT;SUBSECRETARÍA DE ECONOMÍA;AH001
2014-11-28;2014-11-28;VALPARAISO;0;0;;Alimentación;;;MINISTERIO DE EDUCACION;81696;184;Celebraciones, conmemoraciones e inauguraciones,;VIAJA A VALPARAISO A  LA INAUGURACIÓN DE LA NUEVA MUESTRA PERMANENTE DEL MUSEO HISTÓRICO NACIONAL DE VALPARAISO.;SUBSECRETARÍA DE EDUCACIÓN;AJ001
2014-12-17;2014-12-17;VI REGIÓN, COMUNA OLIVAR;0;0;;Alimentación;;;PRESIDENCIA;81711;171;Visitas técnicas;ACOMPAÑA A S.E. LA PRESIDENTA DE LA REPÚBLICA EN UNA REUNIÓN-ALMUERZO DEL GABINETE ECONOMICO;SUBSECRETARÍA DE ECONOMÍA;AH001
2014-12-03;2014-12-03;TALCAHUANO;0;0;;Alimentación;;;PRESIDENCIA;81711;172;Visitas técnicas;ACOMPAÑAR A S.E. LA PRESIDENTA DE LA REPÚBLICA EN VISITA A LAS COMUNAS DE TALCAHUANO, PENCO Y LEBU.;SUBSECRETARÍA DE ECONOMÍA;AH001
2014-12-04;2014-12-04;TALCA;0;0;;Alimentación;;;SECREDUC FINANCIA LOS GASTOS DE ALIMENTACION;81696;189;Celebraciones, conmemoraciones e inauguraciones,;VIAJA A LA ESCUELA ABELARDO MUÑOZ, LANZAMIENTO FEP Y VISITA A SECREDUC A LA ENTREGA DE RECONOCIMIENTO A FUNCIONARIOS CON AÑOS DE SERVICIO.;SUBSECRETARÍA DE EDUCACIÓN;AJ001
2015-01-06;2015-01-06;Valparaíso;0;0;;Alimentación;;;Secretaría y Administración General;81713;393;Relacionamiento institucional;Congreso Nacional - Comisión Hacienda del Senado y Comisión del Trabajo - Agenda Laboral;SUBSECRETARÍA DE HACIENDA;AE001
2014-12-08;2014-12-08;V REGION DE VALPARAISO;0;0;;Alimentación;;;subsecretaria de s alud pública;81928;147;Otro;- PARTICIPAR RECEPCION REALIZADA A 31 PROFESIONALES DE SALUD EN OPERATIVO MEDICO ORGANIZADO POR FUNDACION ACRUX Y LA ARMADA DE CHILE.;SUBSECRETARÍA DE SALUD PÚBLICA ;AO001
2014-12-09;2014-12-09;Valparaíso;0;0;;Alimentación;;;Subsecretaría de Salud;81928;169;Otro;reunión de trabajo con Parlamentarios en el Congreso  e inauguración de la Clínica de Reproducción de Alta Complejidad en la Universidad de Valparaíso.;SUBSECRETARÍA DE SALUD PÚBLICA ;AO001
2014-12-18;2014-12-18;Libertador Bernardo O´Higgins-San Vicente de Tagua-Tagua;0;0;;Alimentación;;;Subsecretaría de Salud;81928;183;Otro;Comunas de San Vicente de Tagua Tagua, Olivar, Rancagua  Jueves 18 de diciembre de 2014   10:30 horas Presentación Comitiva (Helipuerto Cancillería).  10:50 horas Despegue helicóptero Presidencial con destino  San Vicente de Tagua Tagua.    11:50 horas Llegada helicóptero Presidencial a Estadio Municipal de San Vicente de Tagua Tagua.  La Primera Mandataria es recibida por la Intendenta de la Región de O´Higgins, Sra. Morín Contreras.  • Traslado a CESFAM San Vicente de Tagua Tagua.  12:00 horas Llegada de S.E. la Presidenta de la República a CESFAM San Vicente de Tagua Tagua.  (Av. Central 460, comuna de San Vicente de Tagua Tagua)  La Primera Mandataria es recibida por la Ministra de Salud, Sra. Helia Molina; por la Directora del CESFAM, Sra. Pilar Planet y por el Alcalde de la comuna de San Vicente de Tagua Tagua, Sr. Jaime González.    Programa:                                   13:00 horas Término actividad.   • Traslado a comuna de Olivar. 13:50 horas Llegada a Centro de Eventos Molen comuna de Olivar.   (Ruta H-40 s/n, sector Olivar Bajo, Camino Coinco)    La Primera Mandataria es recibida por el Ministro de Economía,  Sr. Luis Felipe Céspedes y por el Seremi de Gobierno, Sr. Mauricio Valderrama.      Programa:            14:50 horas Término actividad.  • S.E. La Presidenta de la República junto a las autoridades se dirige a los jardines del Centro de Eventos, donde se realizará Entrega de Informe Universidad Regional.   Programa:               15:15 horas Término actividad  • Traslado a comuna de Rancagua. 15:45 horas Llegada de  S.E. la Presidenta de la República a Museo Regional de Rancagua, “Casa del Ochavo”.   (Estado 685 comuna de Rancagua)   La Primera Mandataria es recibida por el Director del Museo Regional, Sr. Mario Henríquez; por el Presidente del Directorio de la Comisión Gaudí, Sr. Gonzalo Díaz y  por el integrante del directorio de la Comisión Gaudí, Monseñor Alejandro Goic.      Programa:;SUBSECRETARÍA DE SALUD PÚBLICA ;AO001
2015-01-27;2015-01-27;Valparaíso;0;0;;Alimentación;;;Subsecretaría de salud;82143;382;Otro;participar en reuniones con Presidentes de Comisión de Salud del Senado y Cámara de Diputados Asistir a sesión en el Senado;SUBSECRETARÍA DE SALUD PÚBLICA ;AO001
